classId,lec_dis,status,total_spots,enrolled_spots,waitlist_status,days,start_time,end_time,location,units,instructors
AEROST0000A,Lab 1,Open,70,0,0 of 10 Taken,F,8am,9:50am,Kinsey Science Teaching Pavilion 1200B,0.0,"Flanagan, N."
AEROST0140B,Lec 1,Open,45,0,No Waitlist,F,12pm,2:50pm,Student Activities Center 215,4.0,"Allison, M.A."
