classId,lec_dis,status,total_spots,enrolled_spots,waitlist_status,days,start_time,end_time,location,units,instructors
AFRCST0596,Tut 1,Open,10,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Apter, A.H."
AFRCST0596,Tut 2,Open,10,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Keller, E.J."
AFRCST0597,Tut 1,Open,10,0,No Waitlist,Not scheduled,,,No Location,4.0,"Apter, A.H."
AFRCST0598,Tut 1,Open,10,0,No Waitlist,Not scheduled,,,No Location,4.0,"Apter, A.H."
AFRCST0598,Tut 2,Open,10,0,No Waitlist,Not scheduled,,,No Location,4.0,"Keller, E.J."
