classId,lec_dis,status,total_spots,enrolled_spots,waitlist_status,days,start_time,end_time,location,units,instructors
MATH0151A,Lec 3,Open,40,0,No Waitlist,MWF,4,4:50,Boelter Hall 5440,4.0,"Jiang, C."
MATH0151B,Lec 1,Open,80,0,No Waitlist,MWF,9,9:50,Public Affairs Building 1246,4.0,"Tan, H."
MATH0151B,Dis 1A,Open,40,0,No Waitlist,T,9,9:50,Geology Building 6704,0.0,TA
MATH0151B,Dis 1B,Open,40,0,No Waitlist,R,9,9:50,Geology Building 6704,0.0,TA
MATH0151B,Lec 2,Open,80,0,No Waitlist,MWF,1,1:50,Public Affairs Building 1246,4.0,"Wong, K."
MATH0151B,Dis 2A,Open,40,0,No Waitlist,T,1,1:50,Geology Building 6704,0.0,TA
MATH0151B,Dis 2B,Open,40,0,No Waitlist,R,1,1:50,Geology Building 6704,0.0,TA
MATH0151B,Lec 3,Open,40,0,No Waitlist,MWF,2,2:50,Mathematical Sciences 5138,4.0,"Kashefi, A."
MATH0155,Lec 1,Open,40,0,No Waitlist,MWF,2,2:50,Geology Building 4645,4.0,"Han, F."
MATH0156,Lec 1,Open,40,0,No Waitlist,MWF,12,12:50,Mathematical Sciences 6627,4.0,"Baker, J."
MATH0164,Lec 1,Open,80,0,No Waitlist,MWF,10,10:50,Franz Hall 1178,4.0,"Chen, Y."
MATH0164,Dis 1A,Open,40,0,No Waitlist,T,10,10:50,Bunche Hall 3164,0.0,TA
MATH0164,Dis 1B,Open,40,0,No Waitlist,R,10,10:50,Bunche Hall 2178,0.0,TA
MATH0164,Dis 1C,Closed by Dept Mathematics,0,0,No Waitlist,T,10,10:50,No Location,0.0,No instructors
MATH0164,Dis 1D,Closed by Dept Mathematics,0,0,No Waitlist,R,10,10:50,Geology Building 4645,0.0,No instructors
MATH0164,Lec 2,Closed by Dept Mathematics,0,0,No Waitlist,MWF,2,2:50,Mathematical Sciences,4.0,The Staff
MATH0164,Dis 2A,Closed by Dept Mathematics,0,0,No Waitlist,T,2,2:50,Public Affairs Building 2232,0.0,TA
MATH0164,Dis 2B,Closed by Dept Mathematics,0,0,No Waitlist,R,2,2:50,Mathematical Sciences 5118,0.0,TA
MATH0167,Lec 1,Open,40,0,No Waitlist,MWF,10,10:50,Mathematical Sciences 5118,4.0,"Zhang, W."
MATH0168,Lec 1,Open,40,0,No Waitlist,MWF,9,9:50,Mathematical Sciences 5118,4.0,"Climaco, P."
MATH0170A,Lec 1,Open,40,0,No Waitlist,MWF,9,9:50,Mathematical Sciences 5147,4.0,"Butson, D."
MATH0170E,Lec 1,Open,80,0,No Waitlist,MWF,8,8:50,Dodd Hall 146,4.0,"Baeumler, J."
MATH0170E,Dis 1A,Open,40,0,No Waitlist,T,8,8:50,Geology Building 6704,0.0,TA
MATH0170E,Dis 1B,Open,40,0,No Waitlist,R,8,8:50,Geology Building 6704,0.0,TA
MATH0170E,Lec 2,Open,80,0,No Waitlist,MWF,9,9:50,Public Affairs Building 1234,4.0,"Baeumler, J."
